REBOOT|Reboot PS2|SYS|SYS_REBOOT||RESTART.ELF
REBOOTSYSTEM|Reboot PS2|SYS|SYS_REBOOT||REBOOTSYSTEM.ELF
RESTART|Reboot PS2|SYS|SYS_REBOOT||RESTART.ELF
POWEROFF|PowerOff PS2|SYS|SYS_POWEROFF||POWEROFF.ELF
POWOFF|PowerOff PS2|SYS|SYS_POWEROFF||POWOFF.ELF
OFF|PowerOff PS2|SYS|SYS_POWEROFF||OFF.ELF
SHUTDOWN|PowerOff PS2|SYS|SYS_POWEROFF||SHUTDOWN.ELF
SYSTEMSHUTDOWN|PowerOff PS2|SYS|SYS_POWEROFF||SYSTEMSHUTDOWN.ELF
POWEROFF|PowerOff PS2|SYS|SYS_POWEROFF||POWEROFF.ELF
NICKYPS2|Nicky Boum|GME|GME_NICKYBOU|cosmito|nickyPS2.elf
LBFN|LbFn|APP|APP_LBFN|x.com/nika_towns|LbFn v0.70.19 WIP.elf
HWCLBFN|LbFn (with updated libcdvd)|APP|APP_LBFNHWC|psx-place.com/members/hwnj.32001|HWCLBFN.ELF
HWCLBFNUPDATEDLIBCDVD|LbFn (with updated libcdvd)|APP|APP_LBFNHWC|psx-place.com/members/hwnj.32001|HWC-LbFn-Updated-libcdvd.ELF
RABOOT|RetroArch|EMU|EMU_RETROARC|retroarch.com|raboot.elf
REGBA|ReGBA|EMU|EMU_REGBA|psx-place.com/tags/belek666|ReGBA.elf
TEMPGBA|TempGBA|EMU|EMU_TEMPGBA|psx-place.com/tags/belek666|TempGBA.elf
XEBPLUS|Xtreme Elite Boot+|APP|APP_XEBPLUS|Howling Wolf & Chelsea|XEBPLUS.ELF
XEBPLUSXMAS|Xtreme Elite Boot+|APP|APP_XEBPLUS|Howling Wolf & Chelsea|XEBPLUS_XMAS.ELF
PS2OGCARDTEST|Original Card Test|DST|DST_OGCARDTE|israpps.github.io|PS2_OG_CARD_TEST.ELF
MEMCARDANNIHILATOR|Memory Card Annihilator|DST|DST_MCA|ffgriever-pl|Memory Card Annihilator.ELF
MCA|Memory Card Annihilator|DST|DST_MCA|ffgriever-pl|mca_v20.elf
HOSDMENU|OSDMenu|SYS|SYS_OSDMENU|pcm720|hosdmenu.elf
HDL|HD Loader|APP|APP_HDLOADER|HDLoader|HDL_V0.8C.ELF
HDDLOADER|HD Loader|APP|APP_HDLOADER|HDLoader|hddloader.elf
NEOCD|NeoCD/PS2|EMU|EMU_NEOCD|github.com/obiot|neocd.elf
UOPNPS2LD|Unofficial Open PS2 Loader|APP|APP_UOPL|github.com/KrahJohlito|UOPNPS2LD.ELF
HDLSVR093|HDL Server|APP|APP_HDLSVR|ps2homebrew.github.io|HDL-SERVER-093.ELF
3DPINBALLPLAYER|3D Pinball XP Player|GME|GME_3DPINBAL|Usagiru Release|3DPINBALL-PLAYER.ELF
3DPINBALLPS2|3D Pinball XP Player|GME|GME_3DPINBAL|Usagiru Release|3dpinball-ps2.elf
PGEN|PGen|EMU|EMU_PGEN|ps2homebrew.github.io|PGEN v1.5.1s.elf
PGEN151|PGen|EMU|EMU_PGEN|ps2homebrew.github.io|PGEN151.ELF
PGENCJABCDPATCH48BIT|PGEN|EMU|EMU_PGEN|Datel|PGENCJ_ABCD_PATCH_48BIT.ELF
SEGAGENESIS|PGen|EMU|EMU_PGEN|ps2homebrew.github.io|Sega Genesis.ELF
